0,1,2,3,4,5,6,7,8,9
1.0,0.842,0.917,0.927,0.886,0.871,0.911,0.865,0.922,0.891
0.812,1.0,0.847,0.836,0.849,0.862,0.83,0.882,0.835,0.825
0.903,0.858,1.0,0.924,0.905,0.891,0.929,0.886,0.918,0.894
0.919,0.851,0.925,1.0,0.886,0.884,0.936,0.864,0.914,0.887
0.877,0.874,0.901,0.883,1.0,0.862,0.88,0.865,0.876,0.859
0.881,0.898,0.91,0.895,0.876,1.0,0.887,0.925,0.902,0.883
0.918,0.846,0.925,0.946,0.889,0.885,1.0,0.879,0.919,0.886
0.866,0.897,0.877,0.87,0.858,0.923,0.868,1.0,0.868,0.887
0.917,0.851,0.918,0.919,0.875,0.889,0.905,0.876,1.0,0.882
0.871,0.834,0.877,0.873,0.845,0.859,0.863,0.876,0.874,1.0
