0,1,2,3,4,5,6,7,8,9
1.0,0.51228,0.54594,0.55874,0.53896,0.52962,0.54284,0.52292,0.56214,0.5407
0.51228,1.0,0.52324,0.5194,0.52084,0.53254,0.51124,0.53848,0.51256,0.51212
0.54594,0.52324,1.0,0.5607,0.55224,0.53736,0.55178,0.53048,0.54978,0.53732
0.55874,0.5194,0.5607,1.0,0.55338,0.54222,0.5542,0.53516,0.55176,0.54262
0.53896,0.52084,0.55224,0.55338,1.0,0.52574,0.5504,0.53074,0.54276,0.52738
0.52962,0.53254,0.53736,0.54222,0.52574,1.0,0.52792,0.5435,0.53448,0.5326
0.54284,0.51124,0.55178,0.5542,0.5504,0.52792,1.0,0.52734,0.5438,0.53148
0.52292,0.53848,0.53048,0.53516,0.53074,0.5435,0.52734,1.0,0.52702,0.52994
0.56214,0.51256,0.54978,0.55176,0.54276,0.53448,0.5438,0.52702,1.0,0.54228
0.5407,0.51212,0.53732,0.54262,0.52738,0.5326,0.53148,0.52994,0.54228,1.0
