prepconfig,EN_ONLY,COM_STR,SPLIT,SPLIT_REPR,TABS_NEWLINES,vocabsize,n_tokens,>=2(vocab),>=2(-n_tokens),>=2(-n_tokens%),>=3(vocab),>=3(-n_tokens),>=3(-n_tokens%),>=4(vocab),>=4(-n_tokens),>=4(-n_tokens%),>=5(vocab),>=5(-n_tokens),>=5(-n_tokens%),>=10(vocab),>=10(-n_tokens),>=10(-n_tokens%),>=15(vocab),>=15(-n_tokens),>=15(-n_tokens%),>=20(vocab),>=20(-n_tokens),>=20(-n_tokens%),>=25(vocab),>=25(-n_tokens),>=25(-n_tokens%),>=30(vocab),>=30(-n_tokens),>=30(-n_tokens%),>=35(vocab),>=35(-n_tokens),>=35(-n_tokens%),>=40(vocab),>=40(-n_tokens),>=40(-n_tokens%),>=45(vocab),>=45(-n_tokens),>=45(-n_tokens%),>=50(vocab),>=50(-n_tokens),>=50(-n_tokens%),>=55(vocab),>=55(-n_tokens),>=55(-n_tokens%),>=60(vocab),>=60(-n_tokens),>=60(-n_tokens%),>=65(vocab),>=65(-n_tokens),>=65(-n_tokens%),>=70(vocab),>=70(-n_tokens),>=70(-n_tokens%),>=75(vocab),>=75(-n_tokens),>=75(-n_tokens%),>=80(vocab),>=80(-n_tokens),>=80(-n_tokens%),>=85(vocab),>=85(-n_tokens),>=85(-n_tokens%),>=90(vocab),>=90(-n_tokens),>=90(-n_tokens%),>=95(vocab),>=95(-n_tokens),>=95(-n_tokens%),>=100(vocab),>=100(-n_tokens),>=100(-n_tokens%),>=150(vocab),>=150(-n_tokens),>=150(-n_tokens%),>=200(vocab),>=200(-n_tokens),>=200(-n_tokens%),>=300(vocab),>=300(-n_tokens),>=300(-n_tokens%),>=400(vocab),>=400(-n_tokens),>=400(-n_tokens%),>=500(vocab),>=500(-n_tokens),>=500(-n_tokens%),>=1000(vocab),>=1000(-n_tokens),>=1000(-n_tokens%)
00000,multilang,strings+comments,NO_splitting,separators,tabs+newlines,7154550,1882864438,5472866,1681684,0.089,4177375,4272666,0.227,3426366,6525693,0.347,2822510,8941117,0.475,1550059,17254072,0.917,1068013,22882227,1.216,823409,26974121,1.433,667280,30381762,1.614,567090,33072700,1.757,490360,35515579,1.887,434473,37576887,1.997,387347,39549798,2.102,349091,41345723,2.197,316362,43045620,2.287,290402,44522252,2.366,267131,45963847,2.442,248061,47240080,2.510,231325,48443687,2.574,217238,49527575,2.632,204399,50579037,2.688,193883,51493445,2.736,184005,52401365,2.784,174911,53282906,2.831,119088,60040543,3.190,91316,64817249,3.444,63704,71526334,3.801,49324,76487829,4.064,40604,80374242,4.271,22749,92791639,4.931
00001,multilang,strings+comments,NO_splitting,separators,NO_tabs+NO_newlines,7154548,1414845564,5472864,1681684,0.119,4177373,4272666,0.302,3426364,6525693,0.462,2822508,8941117,0.632,1550057,17254072,1.220,1068011,22882227,1.618,823407,26974121,1.908,667278,30381762,2.149,567088,33072700,2.339,490358,35515579,2.512,434471,37576887,2.658,387345,39549798,2.797,349089,41345723,2.924,316360,43045620,3.044,290400,44522252,3.149,267129,45963847,3.251,248059,47240080,3.341,231323,48443687,3.426,217236,49527575,3.503,204397,50579037,3.577,193881,51493445,3.642,184003,52401365,3.706,174909,53282906,3.768,119086,60040543,4.246,91314,64817249,4.584,63702,71526334,5.059,49322,76487829,5.410,40602,80374242,5.685,22747,92791639,6.563
00010,multilang,strings+comments,NO_splitting,boundaries,tabs+newlines,7154550,1882864438,5472866,1681684,0.089,4177375,4272666,0.227,3426366,6525693,0.347,2822510,8941117,0.475,1550059,17254072,0.917,1068013,22882227,1.216,823409,26974121,1.433,667280,30381762,1.614,567090,33072700,1.757,490360,35515579,1.887,434473,37576887,1.997,387347,39549798,2.102,349091,41345723,2.197,316362,43045620,2.287,290402,44522252,2.366,267131,45963847,2.442,248061,47240080,2.510,231325,48443687,2.574,217238,49527575,2.632,204399,50579037,2.688,193883,51493445,2.736,184005,52401365,2.784,174911,53282906,2.831,119088,60040543,3.190,91316,64817249,3.444,63704,71526334,3.801,49324,76487829,4.064,40604,80374242,4.271,22749,92791639,4.931
00011,multilang,strings+comments,NO_splitting,boundaries,NO_tabs+NO_newlines,7154548,1414845564,5472864,1681684,0.119,4177373,4272666,0.302,3426364,6525693,0.462,2822508,8941117,0.632,1550057,17254072,1.220,1068011,22882227,1.618,823407,26974121,1.908,667278,30381762,2.149,567088,33072700,2.339,490358,35515579,2.512,434471,37576887,2.658,387345,39549798,2.797,349089,41345723,2.924,316360,43045620,3.044,290400,44522252,3.149,267129,45963847,3.251,248059,47240080,3.341,231323,48443687,3.426,217236,49527575,3.503,204397,50579037,3.577,193881,51493445,3.642,184003,52401365,3.706,174909,53282906,3.768,119086,60040543,4.246,91314,64817249,4.584,63702,71526334,5.059,49322,76487829,5.410,40602,80374242,5.685,22747,92791639,6.563
00100,multilang,strings+comments,camel+underscore,separators,tabs+newlines,1236045,2369056614,735979,500066,0.021,521584,928856,0.039,436887,1182947,0.050,371631,1443971,0.061,218025,2435395,0.103,164697,3061471,0.129,135862,3544953,0.150,119188,3909179,0.165,108124,4206515,0.178,99686,4475517,0.189,93200,4714757,0.199,87498,4953802,0.209,82248,5200314,0.220,77521,5445854,0.230,73498,5674957,0.240,69936,5895513,0.249,66953,6095279,0.258,63938,6312082,0.267,61554,6495445,0.275,59264,6683154,0.282,57282,6855563,0.290,55414,7027367,0.297,53669,7196555,0.304,41440,8684509,0.367,34947,9800351,0.414,28287,11421202,0.483,24374,12776419,0.540,21853,13904363,0.588,15389,18476699,0.781
00101,multilang,strings+comments,camel+underscore,separators,NO_tabs+NO_newlines,1236043,1901037740,735977,500066,0.026,521582,928856,0.049,436885,1182947,0.062,371629,1443971,0.076,218023,2435395,0.128,164695,3061471,0.161,135860,3544953,0.187,119186,3909179,0.206,108122,4206515,0.222,99684,4475517,0.236,93198,4714757,0.248,87496,4953802,0.261,82246,5200314,0.274,77519,5445854,0.287,73496,5674957,0.299,69934,5895513,0.311,66951,6095279,0.321,63936,6312082,0.333,61552,6495445,0.342,59262,6683154,0.352,57280,6855563,0.361,55412,7027367,0.370,53667,7196555,0.379,41438,8684509,0.458,34945,9800351,0.516,28285,11421202,0.602,24372,12776419,0.673,21851,13904363,0.733,15387,18476699,0.974
00110,multilang,strings+comments,camel+underscore,boundaries,tabs+newlines,1236045,2637869610,735979,500066,0.019,521584,928856,0.035,436887,1182947,0.045,371632,1443967,0.055,218026,2435391,0.092,164698,3061467,0.116,135863,3544949,0.135,119189,3909175,0.148,108125,4206511,0.160,99687,4475513,0.170,93201,4714753,0.179,87499,4953798,0.188,82249,5200310,0.197,77522,5445850,0.207,73499,5674953,0.215,69937,5895509,0.224,66954,6095275,0.231,63939,6312078,0.240,61555,6495441,0.247,59265,6683150,0.254,57283,6855559,0.260,55415,7027363,0.267,53670,7196551,0.273,41441,8684505,0.330,34948,9800347,0.372,28288,11421198,0.433,24375,12776415,0.485,21854,13904359,0.528,15390,18476695,0.701
00111,multilang,strings+comments,camel+underscore,boundaries,NO_tabs+NO_newlines,1236043,2169850736,735977,500066,0.023,521582,928856,0.043,436885,1182947,0.055,371630,1443967,0.067,218024,2435391,0.112,164696,3061467,0.141,135861,3544949,0.164,119187,3909175,0.180,108123,4206511,0.194,99685,4475513,0.207,93199,4714753,0.218,87497,4953798,0.229,82247,5200310,0.240,77520,5445850,0.251,73497,5674953,0.262,69935,5895509,0.272,66952,6095275,0.281,63937,6312078,0.291,61553,6495441,0.300,59263,6683150,0.308,57281,6855559,0.316,55413,7027363,0.324,53668,7196551,0.332,41439,8684505,0.401,34946,9800347,0.452,28286,11421198,0.527,24373,12776415,0.590,21852,13904359,0.642,15388,18476695,0.853
00200,multilang,strings+comments,camel+underscore+numbers,separators,tabs+newlines,784560,2445276488,497406,287154,0.012,373928,534110,0.022,315119,710537,0.029,269811,891769,0.037,179781,1486215,0.061,143164,1915954,0.078,121695,2278278,0.093,107777,2582362,0.106,97904,2847866,0.117,90042,3098664,0.127,83595,3336551,0.137,77949,3573236,0.146,73176,3797257,0.155,69001,4014032,0.164,65261,4227112,0.173,61941,4432853,0.182,59150,4619671,0.189,56395,4817792,0.197,54265,4981585,0.204,52286,5143742,0.211,50567,5293229,0.217,48974,5439715,0.223,47505,5582090,0.229,37830,6755547,0.277,32553,7663338,0.314,26784,9068425,0.371,23188,10315308,0.422,20793,11387362,0.466,14361,15924285,0.652
00201,multilang,strings+comments,camel+underscore+numbers,separators,NO_tabs+NO_newlines,784558,1977257614,497404,287154,0.015,373926,534110,0.027,315117,710537,0.036,269809,891769,0.045,179779,1486215,0.075,143162,1915954,0.097,121693,2278278,0.115,107775,2582362,0.131,97902,2847866,0.144,90040,3098664,0.157,83593,3336551,0.169,77947,3573236,0.181,73174,3797257,0.192,68999,4014032,0.203,65259,4227112,0.214,61939,4432853,0.225,59148,4619671,0.234,56393,4817792,0.244,54263,4981585,0.252,52284,5143742,0.261,50565,5293229,0.268,48972,5439715,0.276,47503,5582090,0.283,37828,6755547,0.342,32551,7663338,0.388,26782,9068425,0.459,23186,10315308,0.523,20791,11387362,0.577,14359,15924285,0.807
