-|------------  vocabsize  n_tokens    >=2      >=2              >=3      >=3              >=4      >=4              >=5      >=5              >=100   >=100
00000           7154550    1881922580  5472866  1681684(0.089%)  4177375  4272666(0.227%)  3426366  6525693(0.347%)  2822510  8941117(0.475%)  174911  53282906(2.831%)
00001           7154548    1413903698  5472864  1681684(0.119%)  4177373  4272666(0.302%)  3426364  6525693(0.462%)  2822508  8941117(0.632%)  174909  53282906(3.768%)
00010           7154550    1881922580  5472866  1681684(0.089%)  4177375  4272666(0.227%)  3426366  6525693(0.347%)  2822510  8941117(0.475%)  174911  53282906(2.831%)
00011           7154548    1413903698  5472864  1681684(0.119%)  4177373  4272666(0.302%)  3426364  6525693(0.462%)  2822508  8941117(0.632%)  174909  53282906(3.768%)
00100           1236045    2365944602  735979   500066(0.021%)   521584   928856(0.039%)   436887   1182947(0.050%)  371631   1443971(0.061%)  53669   7196555(0.304%)
00101           1236043    1897925720  735977   500066(0.026%)   521582   928856(0.049%)   436885   1182947(0.062%)  371629   1443971(0.076%)  53667   7196555(0.379%)
00110           1236045    2634757598  735979   500066(0.019%)   521584   928856(0.035%)   436887   1182947(0.045%)  371632   1443967(0.055%)  53670   7196551(0.273%)
00111           1236043    2166738716  735977   500066(0.023%)   521582   928856(0.043%)   436885   1182947(0.055%)  371630   1443967(0.067%)  53668   7196551(0.332%)
00200           784560     2442164476  497406   287154(0.012%)   373928   534110(0.022%)   315119   710537(0.029%)   269811   891769(0.037%)   47505   5582090(0.229%)
00201           784558     1974145594  497404   287154(0.015%)   373926   534110(0.027%)   315117   710537(0.036%)   269809   891769(0.045%)   47503   5582090(0.283%)
00210           784560     2700408037  497406   287154(0.011%)   373928   534110(0.020%)   315119   710537(0.026%)   269812   891765(0.033%)   47505   5582122(0.207%)
00211           784558     2232389155  497404   287154(0.013%)   373926   534110(0.024%)   315117   710537(0.032%)   269810   891765(0.040%)   47503   5582122(0.250%)
00400           10719      2556037893  9584     1135(0.000%)     8695     2913(0.000%)     8407     3777(0.000%)     8160     4765(0.000%)     6258    56274(0.002%)
00401           10717      2088019011  9582     1135(0.000%)     8693     2913(0.000%)     8405     3777(0.000%)     8158     4765(0.000%)     6256    56274(0.003%)
00410           10719      2805142750  9584     1135(0.000%)     8695     2913(0.000%)     8407     3777(0.000%)     8161     4761(0.000%)     6258    56306(0.002%)
00411           10717      2337123868  9582     1135(0.000%)     8693     2913(0.000%)     8405     3777(0.000%)     8159     4761(0.000%)     6256    56306(0.002%)
00500           6721       3219236965  5586     1135(0.000%)     4697     2913(0.000%)     4409     3777(0.000%)     4163     4761(0.000%)     2287    54937(0.002%)
00501           6719       2751218083  5584     1135(0.000%)     4695     2913(0.000%)     4407     3777(0.000%)     4161     4761(0.000%)     2285    54937(0.002%)
00510           8709       3338101055  7196     1513(0.000%)     6039     3827(0.000%)     5527     5363(0.000%)     5128     6959(0.000%)     2332    72822(0.002%)
00511           6720       2869975453  5584     1136(0.000%)     4695     2914(0.000%)     4407     3778(0.000%)     4162     4758(0.000%)     2285    54970(0.002%)
00600           15712      2469256261  14573    1139(0.000%)     13680    2925(0.000%)     13388    3801(0.000%)     13138    4801(0.000%)     11145   60447(0.002%)
00601           15710      2001237379  14571    1139(0.000%)     13678    2925(0.000%)     13386    3801(0.000%)     13136    4801(0.000%)     11143   60447(0.003%)
00610           15712      2727697632  14573    1139(0.000%)     13680    2925(0.000%)     13388    3801(0.000%)     13139    4797(0.000%)     11145   60479(0.002%)
00611           15711      2259584537  14571    1140(0.000%)     13678    2926(0.000%)     13386    3802(0.000%)     13137    4798(0.000%)     11143   60480(0.003%)
