prepconfig,EN_ONLY,COM_STR,SPLIT,TABS_NEWLINES,MARK_LOGS,CAPS,vocabsize,n_tokens,>=2(vocab),>=2(-n_tokens),>=2(-n_tokens%),>=3(vocab),>=3(-n_tokens),>=3(-n_tokens%),>=4(vocab),>=4(-n_tokens),>=4(-n_tokens%),>=5(vocab),>=5(-n_tokens),>=5(-n_tokens%),>=10(vocab),>=10(-n_tokens),>=10(-n_tokens%),>=15(vocab),>=15(-n_tokens),>=15(-n_tokens%),>=20(vocab),>=20(-n_tokens),>=20(-n_tokens%),>=25(vocab),>=25(-n_tokens),>=25(-n_tokens%),>=30(vocab),>=30(-n_tokens),>=30(-n_tokens%),>=35(vocab),>=35(-n_tokens),>=35(-n_tokens%),>=40(vocab),>=40(-n_tokens),>=40(-n_tokens%),>=45(vocab),>=45(-n_tokens),>=45(-n_tokens%),>=50(vocab),>=50(-n_tokens),>=50(-n_tokens%),>=55(vocab),>=55(-n_tokens),>=55(-n_tokens%),>=60(vocab),>=60(-n_tokens),>=60(-n_tokens%),>=65(vocab),>=65(-n_tokens),>=65(-n_tokens%),>=70(vocab),>=70(-n_tokens),>=70(-n_tokens%),>=75(vocab),>=75(-n_tokens),>=75(-n_tokens%),>=80(vocab),>=80(-n_tokens),>=80(-n_tokens%),>=85(vocab),>=85(-n_tokens),>=85(-n_tokens%),>=90(vocab),>=90(-n_tokens),>=90(-n_tokens%),>=95(vocab),>=95(-n_tokens),>=95(-n_tokens%),>=100(vocab),>=100(-n_tokens),>=100(-n_tokens%),>=150(vocab),>=150(-n_tokens),>=150(-n_tokens%),>=200(vocab),>=200(-n_tokens),>=200(-n_tokens%),>=300(vocab),>=300(-n_tokens),>=300(-n_tokens%),>=400(vocab),>=400(-n_tokens),>=400(-n_tokens%),>=500(vocab),>=500(-n_tokens),>=500(-n_tokens%),>=1000(vocab),>=1000(-n_tokens),>=1000(-n_tokens%)
001101,multilang,strings+comments,camel+underscore,NO_tabs+NO_newlines,NO_log_marks,lowercased,1588777,2972812831,907443,681334,0.023,606920,1282380,0.043,500881,1600497,0.054,420101,1923617,0.065,260482,2964524,0.100,201611,3653542,0.123,167885,4219839,0.142,145435,4710738,0.158,129621,5135614,0.173,117956,5507013,0.185,109174,5830848,0.196,102166,6124642,0.206,96356,6397458,0.215,91186,6666002,0.224,86658,6923870,0.233,82530,7179495,0.242,78961,7418456,0.250,75520,7666080,0.258,72533,7895894,0.266,69841,8116416,0.273,67361,8331971,0.280,65207,8530088,0.287,63187,8725937,0.294,49778,10358887,0.348,42348,11642413,0.392,33851,13721776,0.462,29021,15393502,0.518,25885,16792976,0.565,17806,22543509,0.758
010100,multilang,strings+NO_comments,NO_splitting,NO_tabs+NO_newlines,NO_log_marks,case_preserved,10265843,1701637340,7994247,2271596,0.134,5948554,6362982,0.374,4745793,9971265,0.586,3871229,13469521,0.792,2013926,25604725,1.505,1354826,33300103,1.957,1030044,38741451,2.277,829227,43127945,2.535,697626,46662004,2.743,601714,49718071,2.922,531151,52321499,3.075,475056,54672035,3.213,430266,56774028,3.337,393446,58686326,3.449,363289,60402931,3.550,336888,62038100,3.646,314884,63510956,3.733,295270,64922328,3.816,278316,66226603,3.892,263258,67460740,3.965,250037,68610508,4.033,237916,69724978,4.098,226712,70811203,4.162,156780,79290440,4.660,121139,85434380,5.021,84688,94310803,5.543,65614,100893898,5.930,54163,106001129,6.230,30228,122687761,7.211
011101,multilang,strings+NO_comments,camel+underscore,NO_tabs+NO_newlines,NO_log_marks,lowercased,1238330,2814362583,739776,498554,0.018,501219,975668,0.035,416384,1230173,0.044,351301,1490505,0.053,222457,2328376,0.083,173882,2896798,0.103,145771,3368635,0.120,127183,3774943,0.134,113521,4142107,0.147,103273,4468767,0.159,95306,4762986,0.169,88864,5033088,0.179,83545,5282664,0.188,78948,5521213,0.196,75025,5744758,0.204,71550,5959921,0.212,68672,6152632,0.219,65932,6349860,0.226,63525,6535136,0.232,61381,6710816,0.238,59482,6875907,0.244,57743,7035768,0.250,56124,7192729,0.256,44989,8550102,0.304,38525,9666338,0.343,31198,11456409,0.407,26810,12975832,0.461,23805,14317781,0.509,16487,19490206,0.693
012101,multilang,strings+NO_comments,camel+underscore+numbers,NO_tabs+NO_newlines,NO_log_marks,lowercased,724133,2875600408,529087,195046,0.007,400536,452148,0.016,337229,642069,0.022,292103,822573,0.029,191818,1482441,0.052,149812,1974926,0.069,125714,2379343,0.083,110111,2720254,0.095,99178,3013827,0.105,90902,3277704,0.114,84541,3512740,0.122,79298,3732633,0.130,74905,3938777,0.137,71096,4136346,0.144,67819,4323118,0.150,64872,4505557,0.157,62381,4672336,0.162,60058,4839496,0.168,58030,4995617,0.174,56227,5143401,0.179,54612,5283792,0.184,53122,5420767,0.189,51707,5557971,0.193,41898,6756675,0.235,36111,7757064,0.270,29408,9395489,0.327,25318,10811388,0.376,22585,12031765,0.418,15880,16782074,0.584
020100,multilang,NO_strings+NO_comments,NO_splitting,NO_tabs+NO_newlines,NO_log_marks,case_preserved,9499013,1133050827,7558000,1941013,0.171,5567592,5921829,0.523,4393729,9443418,0.833,3532377,12888826,1.138,1795519,24192252,2.135,1196765,31175234,2.751,904332,36074063,3.184,724104,40006713,3.531,607462,43139654,3.807,522319,45853050,4.047,459452,48172522,4.252,409694,50256937,4.436,369828,52126815,4.601,337297,53816317,4.750,310526,55340153,4.884,287338,56776366,5.011,267707,58090635,5.127,250477,59330218,5.236,235801,60459416,5.336,222600,61541223,5.432,210872,62561199,5.522,200294,63534045,5.607,190630,64471098,5.690,130171,71796551,6.337,99677,77047184,6.800,68300,84686427,7.474,52308,90205247,7.961,42804,94439890,8.335,22951,108222793,9.552
021100,multilang,NO_strings+NO_comments,camel+underscore,NO_tabs+NO_newlines,NO_log_marks,case_preserved,1105732,1746224881,718633,387099,0.022,505489,813387,0.047,427258,1048080,0.060,363561,1302868,0.075,232442,2156960,0.124,182224,2745146,0.157,153405,3228192,0.185,134779,3635178,0.208,121742,3985310,0.228,111759,4303532,0.246,103924,4592497,0.263,97617,4856838,0.278,92281,5107512,0.292,87649,5348202,0.306,83703,5573108,0.319,80360,5780189,0.331,77411,5977711,0.342,74655,6176113,0.354,72259,6360572,0.364,70043,6542200,0.375,68032,6716981,0.385,66135,6891493,0.395,64356,7063950,0.405,52380,8523451,0.488,45315,9746053,0.558,36803,11827346,0.677,31818,13551394,0.776,28327,15110759,0.865,19548,21294183,1.219
021101,multilang,NO_strings+NO_comments,camel+underscore,NO_tabs+NO_newlines,NO_log_marks,lowercased,974606,2087403458,598037,376569,0.018,402861,766921,0.037,336517,965953,0.046,282435,1182281,0.057,174152,1886616,0.090,134353,2352387,0.113,111405,2736892,0.131,96780,3056455,0.146,86683,3327605,0.159,79151,3567706,0.171,73242,3785787,0.181,68382,3989384,0.191,64324,4180012,0.200,60880,4358842,0.209,57891,4529151,0.217,55481,4678458,0.224,53316,4823519,0.231,51391,4962126,0.238,49620,5098402,0.244,47963,5234156,0.251,46521,5359469,0.257,45183,5482518,0.263,43917,5605279,0.269,35411,6640588,0.318,30655,7462377,0.357,24709,8918117,0.427,21246,10114987,0.485,18982,11125786,0.533,13162,15212479,0.729
022100,multilang,NO_strings+NO_comments,camel+underscore+numbers,NO_tabs+NO_newlines,NO_log_marks,case_preserved,635780,1783880337,537738,98042,0.005,425840,321838,0.018,362201,512755,0.029,317418,691887,0.039,211312,1389626,0.078,167431,1904381,0.107,142447,2323238,0.130,125924,2684355,0.150,114324,2995967,0.168,105250,3285193,0.184,98146,3547202,0.199,92368,3789434,0.212,87453,4020344,0.225,83249,4238750,0.238,79639,4444519,0.249,76553,4635667,0.260,73801,4819997,0.270,71264,5002642,0.280,69021,5175343,0.290,66969,5343537,0.300,65099,5506080,0.309,63328,5669017,0.318,61681,5828698,0.327,50270,7220663,0.405,43483,8395142,0.471,35481,10349605,0.580,30784,11975765,0.671,27431,13473303,0.755,19060,19382706,1.087
022101,multilang,NO_strings+NO_comments,camel+underscore+numbers,NO_tabs+NO_newlines,NO_log_marks,lowercased,504660,2125058914,417148,87512,0.004,323218,275372,0.013,271466,430628,0.020,236298,571300,0.027,153028,1119282,0.053,119566,1511622,0.071,100453,1831938,0.086,87931,2105632,0.099,79271,2338262,0.110,72648,2549367,0.120,67470,2740492,0.129,63139,2921980,0.138,59502,3092844,0.146,56486,3249390,0.153,53833,3400562,0.160,51680,3533936,0.166,49712,3665805,0.173,48006,3788655,0.178,46388,3913173,0.184,44895,4035493,0.190,43594,4148568,0.195,42382,4260042,0.200,41248,4370027,0.206,33307,5337800,0.251,28829,6111466,0.288,23393,7440376,0.350,20218,8539358,0.402,18092,9488330,0.446,12680,13301002,0.626
102101,en_only,strings+comments,camel+underscore+numbers,NO_tabs+NO_newlines,NO_log_marks,lowercased,958465,3045857316,645577,312888,0.010,475974,652094,0.021,397777,886685,0.029,341585,1111453,0.036,219637,1914613,0.063,172106,2471238,0.081,145170,2923619,0.096,126919,3322867,0.109,113802,3675399,0.121,103507,4003503,0.131,95430,4301615,0.141,88664,4585444,0.151,83126,4845305,0.159,78553,5082617,0.167,74632,5305817,0.174,71153,5521180,0.181,68208,5718323,0.188,65404,5920096,0.194,63032,6102572,0.200,60926,6275092,0.206,58970,6445064,0.212,57288,6599794,0.217,55701,6753658,0.222,44660,8099943,0.266,38460,9170983,0.301,31354,10912663,0.358,26984,12429063,0.408,23994,13764546,0.452,16682,18930492,0.622
